transaction_id,customer_id,amount_cad,debit_credit,transaction_datetime,cash_indicator,country,province,city
fake_data_0,fake_data_0,167,fake_data_0,fake_data_0,822,fake_data_0,fake_data_0,fake_data_0
fake_data_1,fake_data_1,626,fake_data_1,fake_data_1,858,fake_data_1,fake_data_1,fake_data_1
fake_data_2,fake_data_2,774,fake_data_2,fake_data_2,583,fake_data_2,fake_data_2,fake_data_2
fake_data_3,fake_data_3,531,fake_data_3,fake_data_3,237,fake_data_3,fake_data_3,fake_data_3
fake_data_4,fake_data_4,765,fake_data_4,fake_data_4,983,fake_data_4,fake_data_4,fake_data_4
fake_data_5,fake_data_5,984,fake_data_5,fake_data_5,793,fake_data_5,fake_data_5,fake_data_5
fake_data_6,fake_data_6,870,fake_data_6,fake_data_6,765,fake_data_6,fake_data_6,fake_data_6
fake_data_7,fake_data_7,3,fake_data_7,fake_data_7,469,fake_data_7,fake_data_7,fake_data_7
fake_data_8,fake_data_8,267,fake_data_8,fake_data_8,787,fake_data_8,fake_data_8,fake_data_8
fake_data_9,fake_data_9,81,fake_data_9,fake_data_9,200,fake_data_9,fake_data_9,fake_data_9
fake_data_10,fake_data_10,870,fake_data_10,fake_data_10,0,fake_data_10,fake_data_10,fake_data_10
fake_data_11,fake_data_11,579,fake_data_11,fake_data_11,670,fake_data_11,fake_data_11,fake_data_11
fake_data_12,fake_data_12,293,fake_data_12,fake_data_12,28,fake_data_12,fake_data_12,fake_data_12
fake_data_13,fake_data_13,943,fake_data_13,fake_data_13,535,fake_data_13,fake_data_13,fake_data_13
fake_data_14,fake_data_14,848,fake_data_14,fake_data_14,657,fake_data_14,fake_data_14,fake_data_14
fake_data_15,fake_data_15,685,fake_data_15,fake_data_15,318,fake_data_15,fake_data_15,fake_data_15
fake_data_16,fake_data_16,83,fake_data_16,fake_data_16,784,fake_data_16,fake_data_16,fake_data_16
fake_data_17,fake_data_17,177,fake_data_17,fake_data_17,175,fake_data_17,fake_data_17,fake_data_17
fake_data_18,fake_data_18,669,fake_data_18,fake_data_18,434,fake_data_18,fake_data_18,fake_data_18
fake_data_19,fake_data_19,10,fake_data_19,fake_data_19,546,fake_data_19,fake_data_19,fake_data_19
fake_data_20,fake_data_20,985,fake_data_20,fake_data_20,996,fake_data_20,fake_data_20,fake_data_20
fake_data_21,fake_data_21,341,fake_data_21,fake_data_21,542,fake_data_21,fake_data_21,fake_data_21
fake_data_22,fake_data_22,488,fake_data_22,fake_data_22,299,fake_data_22,fake_data_22,fake_data_22
fake_data_23,fake_data_23,105,fake_data_23,fake_data_23,164,fake_data_23,fake_data_23,fake_data_23
fake_data_24,fake_data_24,18,fake_data_24,fake_data_24,730,fake_data_24,fake_data_24,fake_data_24
fake_data_25,fake_data_25,494,fake_data_25,fake_data_25,196,fake_data_25,fake_data_25,fake_data_25
fake_data_26,fake_data_26,797,fake_data_26,fake_data_26,68,fake_data_26,fake_data_26,fake_data_26
fake_data_27,fake_data_27,206,fake_data_27,fake_data_27,741,fake_data_27,fake_data_27,fake_data_27
fake_data_28,fake_data_28,511,fake_data_28,fake_data_28,800,fake_data_28,fake_data_28,fake_data_28
fake_data_29,fake_data_29,981,fake_data_29,fake_data_29,468,fake_data_29,fake_data_29,fake_data_29
fake_data_30,fake_data_30,557,fake_data_30,fake_data_30,316,fake_data_30,fake_data_30,fake_data_30
fake_data_31,fake_data_31,52,fake_data_31,fake_data_31,761,fake_data_31,fake_data_31,fake_data_31
fake_data_32,fake_data_32,284,fake_data_32,fake_data_32,214,fake_data_32,fake_data_32,fake_data_32
fake_data_33,fake_data_33,406,fake_data_33,fake_data_33,805,fake_data_33,fake_data_33,fake_data_33
fake_data_34,fake_data_34,748,fake_data_34,fake_data_34,262,fake_data_34,fake_data_34,fake_data_34
fake_data_35,fake_data_35,598,fake_data_35,fake_data_35,509,fake_data_35,fake_data_35,fake_data_35
fake_data_36,fake_data_36,42,fake_data_36,fake_data_36,485,fake_data_36,fake_data_36,fake_data_36
fake_data_37,fake_data_37,479,fake_data_37,fake_data_37,184,fake_data_37,fake_data_37,fake_data_37
fake_data_38,fake_data_38,178,fake_data_38,fake_data_38,79,fake_data_38,fake_data_38,fake_data_38
fake_data_39,fake_data_39,406,fake_data_39,fake_data_39,378,fake_data_39,fake_data_39,fake_data_39
fake_data_40,fake_data_40,374,fake_data_40,fake_data_40,113,fake_data_40,fake_data_40,fake_data_40
fake_data_41,fake_data_41,947,fake_data_41,fake_data_41,297,fake_data_41,fake_data_41,fake_data_41
fake_data_42,fake_data_42,139,fake_data_42,fake_data_42,56,fake_data_42,fake_data_42,fake_data_42
fake_data_43,fake_data_43,44,fake_data_43,fake_data_43,62,fake_data_43,fake_data_43,fake_data_43
fake_data_44,fake_data_44,588,fake_data_44,fake_data_44,837,fake_data_44,fake_data_44,fake_data_44
fake_data_45,fake_data_45,816,fake_data_45,fake_data_45,336,fake_data_45,fake_data_45,fake_data_45
fake_data_46,fake_data_46,869,fake_data_46,fake_data_46,849,fake_data_46,fake_data_46,fake_data_46
fake_data_47,fake_data_47,381,fake_data_47,fake_data_47,271,fake_data_47,fake_data_47,fake_data_47
fake_data_48,fake_data_48,666,fake_data_48,fake_data_48,840,fake_data_48,fake_data_48,fake_data_48
fake_data_49,fake_data_49,609,fake_data_49,fake_data_49,311,fake_data_49,fake_data_49,fake_data_49
