transaction_id,customer_id,amount_cad,debit_credit,transaction_datetime,merchant_category,ecommerce_ind,country,province,city
fake_data_0,fake_data_0,500,fake_data_0,fake_data_0,181,73,fake_data_0,fake_data_0,fake_data_0
fake_data_1,fake_data_1,883,fake_data_1,fake_data_1,272,938,fake_data_1,fake_data_1,fake_data_1
fake_data_2,fake_data_2,144,fake_data_2,fake_data_2,437,543,fake_data_2,fake_data_2,fake_data_2
fake_data_3,fake_data_3,662,fake_data_3,fake_data_3,807,685,fake_data_3,fake_data_3,fake_data_3
fake_data_4,fake_data_4,652,fake_data_4,fake_data_4,617,671,fake_data_4,fake_data_4,fake_data_4
fake_data_5,fake_data_5,354,fake_data_5,fake_data_5,239,139,fake_data_5,fake_data_5,fake_data_5
fake_data_6,fake_data_6,768,fake_data_6,fake_data_6,831,229,fake_data_6,fake_data_6,fake_data_6
fake_data_7,fake_data_7,666,fake_data_7,fake_data_7,30,435,fake_data_7,fake_data_7,fake_data_7
fake_data_8,fake_data_8,144,fake_data_8,fake_data_8,819,47,fake_data_8,fake_data_8,fake_data_8
fake_data_9,fake_data_9,381,fake_data_9,fake_data_9,671,87,fake_data_9,fake_data_9,fake_data_9
fake_data_10,fake_data_10,857,fake_data_10,fake_data_10,184,423,fake_data_10,fake_data_10,fake_data_10
fake_data_11,fake_data_11,581,fake_data_11,fake_data_11,424,346,fake_data_11,fake_data_11,fake_data_11
fake_data_12,fake_data_12,774,fake_data_12,fake_data_12,987,59,fake_data_12,fake_data_12,fake_data_12
fake_data_13,fake_data_13,134,fake_data_13,fake_data_13,606,337,fake_data_13,fake_data_13,fake_data_13
fake_data_14,fake_data_14,161,fake_data_14,fake_data_14,72,627,fake_data_14,fake_data_14,fake_data_14
fake_data_15,fake_data_15,471,fake_data_15,fake_data_15,699,245,fake_data_15,fake_data_15,fake_data_15
fake_data_16,fake_data_16,762,fake_data_16,fake_data_16,267,325,fake_data_16,fake_data_16,fake_data_16
fake_data_17,fake_data_17,516,fake_data_17,fake_data_17,577,273,fake_data_17,fake_data_17,fake_data_17
fake_data_18,fake_data_18,698,fake_data_18,fake_data_18,670,554,fake_data_18,fake_data_18,fake_data_18
fake_data_19,fake_data_19,995,fake_data_19,fake_data_19,54,446,fake_data_19,fake_data_19,fake_data_19
fake_data_20,fake_data_20,858,fake_data_20,fake_data_20,730,240,fake_data_20,fake_data_20,fake_data_20
