transaction_id,customer_id,amount_cad,debit_credit,transaction_datetime
fake_data_0,fake_data_0,969,fake_data_0,fake_data_0
fake_data_1,fake_data_1,193,fake_data_1,fake_data_1
fake_data_2,fake_data_2,277,fake_data_2,fake_data_2
fake_data_3,fake_data_3,227,fake_data_3,fake_data_3
fake_data_4,fake_data_4,852,fake_data_4,fake_data_4
fake_data_5,fake_data_5,894,fake_data_5,fake_data_5
fake_data_6,fake_data_6,517,fake_data_6,fake_data_6
fake_data_7,fake_data_7,843,fake_data_7,fake_data_7
fake_data_8,fake_data_8,5,fake_data_8,fake_data_8
fake_data_9,fake_data_9,454,fake_data_9,fake_data_9
fake_data_10,fake_data_10,908,fake_data_10,fake_data_10
fake_data_11,fake_data_11,657,fake_data_11,fake_data_11
fake_data_12,fake_data_12,383,fake_data_12,fake_data_12
fake_data_13,fake_data_13,229,fake_data_13,fake_data_13
fake_data_14,fake_data_14,462,fake_data_14,fake_data_14
fake_data_15,fake_data_15,644,fake_data_15,fake_data_15
fake_data_16,fake_data_16,782,fake_data_16,fake_data_16
fake_data_17,fake_data_17,665,fake_data_17,fake_data_17
fake_data_18,fake_data_18,948,fake_data_18,fake_data_18
fake_data_19,fake_data_19,1,fake_data_19,fake_data_19
fake_data_20,fake_data_20,628,fake_data_20,fake_data_20
fake_data_21,fake_data_21,492,fake_data_21,fake_data_21
fake_data_22,fake_data_22,509,fake_data_22,fake_data_22
fake_data_23,fake_data_23,803,fake_data_23,fake_data_23
fake_data_24,fake_data_24,925,fake_data_24,fake_data_24
fake_data_25,fake_data_25,642,fake_data_25,fake_data_25
fake_data_26,fake_data_26,202,fake_data_26,fake_data_26
fake_data_27,fake_data_27,419,fake_data_27,fake_data_27
fake_data_28,fake_data_28,216,fake_data_28,fake_data_28
fake_data_29,fake_data_29,254,fake_data_29,fake_data_29
fake_data_30,fake_data_30,948,fake_data_30,fake_data_30
fake_data_31,fake_data_31,331,fake_data_31,fake_data_31
fake_data_32,fake_data_32,669,fake_data_32,fake_data_32
fake_data_33,fake_data_33,38,fake_data_33,fake_data_33
fake_data_34,fake_data_34,402,fake_data_34,fake_data_34
fake_data_35,fake_data_35,715,fake_data_35,fake_data_35
fake_data_36,fake_data_36,361,fake_data_36,fake_data_36
fake_data_37,fake_data_37,4,fake_data_37,fake_data_37
fake_data_38,fake_data_38,371,fake_data_38,fake_data_38
fake_data_39,fake_data_39,228,fake_data_39,fake_data_39
fake_data_40,fake_data_40,88,fake_data_40,fake_data_40
fake_data_41,fake_data_41,375,fake_data_41,fake_data_41
fake_data_42,fake_data_42,210,fake_data_42,fake_data_42
fake_data_43,fake_data_43,20,fake_data_43,fake_data_43
fake_data_44,fake_data_44,231,fake_data_44,fake_data_44
fake_data_45,fake_data_45,340,fake_data_45,fake_data_45
fake_data_46,fake_data_46,547,fake_data_46,fake_data_46
fake_data_47,fake_data_47,13,fake_data_47,fake_data_47
fake_data_48,fake_data_48,828,fake_data_48,fake_data_48
fake_data_49,fake_data_49,947,fake_data_49,fake_data_49
