transaction_id,customer_id,amount_cad,debit_credit,transaction_datetime
fake_data_0,fake_data_0,87,fake_data_0,fake_data_0
fake_data_1,fake_data_1,648,fake_data_1,fake_data_1
fake_data_2,fake_data_2,450,fake_data_2,fake_data_2
fake_data_3,fake_data_3,718,fake_data_3,fake_data_3
fake_data_4,fake_data_4,373,fake_data_4,fake_data_4
fake_data_5,fake_data_5,617,fake_data_5,fake_data_5
fake_data_6,fake_data_6,609,fake_data_6,fake_data_6
fake_data_7,fake_data_7,544,fake_data_7,fake_data_7
fake_data_8,fake_data_8,154,fake_data_8,fake_data_8
fake_data_9,fake_data_9,129,fake_data_9,fake_data_9
fake_data_10,fake_data_10,754,fake_data_10,fake_data_10
fake_data_11,fake_data_11,913,fake_data_11,fake_data_11
fake_data_12,fake_data_12,659,fake_data_12,fake_data_12
fake_data_13,fake_data_13,67,fake_data_13,fake_data_13
fake_data_14,fake_data_14,503,fake_data_14,fake_data_14
fake_data_15,fake_data_15,627,fake_data_15,fake_data_15
fake_data_16,fake_data_16,656,fake_data_16,fake_data_16
fake_data_17,fake_data_17,331,fake_data_17,fake_data_17
fake_data_18,fake_data_18,822,fake_data_18,fake_data_18
fake_data_19,fake_data_19,652,fake_data_19,fake_data_19
fake_data_20,fake_data_20,396,fake_data_20,fake_data_20
fake_data_21,fake_data_21,653,fake_data_21,fake_data_21
fake_data_22,fake_data_22,489,fake_data_22,fake_data_22
fake_data_23,fake_data_23,575,fake_data_23,fake_data_23
fake_data_24,fake_data_24,481,fake_data_24,fake_data_24
fake_data_25,fake_data_25,798,fake_data_25,fake_data_25
fake_data_26,fake_data_26,52,fake_data_26,fake_data_26
fake_data_27,fake_data_27,528,fake_data_27,fake_data_27
fake_data_28,fake_data_28,257,fake_data_28,fake_data_28
fake_data_29,fake_data_29,38,fake_data_29,fake_data_29
fake_data_30,fake_data_30,817,fake_data_30,fake_data_30
fake_data_31,fake_data_31,822,fake_data_31,fake_data_31
fake_data_32,fake_data_32,145,fake_data_32,fake_data_32
fake_data_33,fake_data_33,273,fake_data_33,fake_data_33
fake_data_34,fake_data_34,937,fake_data_34,fake_data_34
fake_data_35,fake_data_35,790,fake_data_35,fake_data_35
fake_data_36,fake_data_36,320,fake_data_36,fake_data_36
fake_data_37,fake_data_37,433,fake_data_37,fake_data_37
fake_data_38,fake_data_38,717,fake_data_38,fake_data_38
fake_data_39,fake_data_39,854,fake_data_39,fake_data_39
fake_data_40,fake_data_40,375,fake_data_40,fake_data_40
fake_data_41,fake_data_41,735,fake_data_41,fake_data_41
fake_data_42,fake_data_42,735,fake_data_42,fake_data_42
fake_data_43,fake_data_43,841,fake_data_43,fake_data_43
fake_data_44,fake_data_44,638,fake_data_44,fake_data_44
fake_data_45,fake_data_45,591,fake_data_45,fake_data_45
fake_data_46,fake_data_46,977,fake_data_46,fake_data_46
fake_data_47,fake_data_47,590,fake_data_47,fake_data_47
fake_data_48,fake_data_48,895,fake_data_48,fake_data_48
fake_data_49,fake_data_49,67,fake_data_49,fake_data_49
