transaction_id,customer_id,amount_cad,debit_credit,transaction_datetime
fake_data_0,fake_data_0,358,fake_data_0,fake_data_0
fake_data_1,fake_data_1,706,fake_data_1,fake_data_1
fake_data_2,fake_data_2,343,fake_data_2,fake_data_2
fake_data_3,fake_data_3,563,fake_data_3,fake_data_3
fake_data_4,fake_data_4,206,fake_data_4,fake_data_4
fake_data_5,fake_data_5,934,fake_data_5,fake_data_5
fake_data_6,fake_data_6,439,fake_data_6,fake_data_6
fake_data_7,fake_data_7,966,fake_data_7,fake_data_7
fake_data_8,fake_data_8,60,fake_data_8,fake_data_8
fake_data_9,fake_data_9,994,fake_data_9,fake_data_9
fake_data_10,fake_data_10,552,fake_data_10,fake_data_10
fake_data_11,fake_data_11,842,fake_data_11,fake_data_11
fake_data_12,fake_data_12,285,fake_data_12,fake_data_12
fake_data_13,fake_data_13,407,fake_data_13,fake_data_13
fake_data_14,fake_data_14,395,fake_data_14,fake_data_14
fake_data_15,fake_data_15,244,fake_data_15,fake_data_15
fake_data_16,fake_data_16,544,fake_data_16,fake_data_16
fake_data_17,fake_data_17,124,fake_data_17,fake_data_17
fake_data_18,fake_data_18,923,fake_data_18,fake_data_18
fake_data_19,fake_data_19,783,fake_data_19,fake_data_19
fake_data_20,fake_data_20,863,fake_data_20,fake_data_20
fake_data_21,fake_data_21,617,fake_data_21,fake_data_21
fake_data_22,fake_data_22,529,fake_data_22,fake_data_22
fake_data_23,fake_data_23,401,fake_data_23,fake_data_23
fake_data_24,fake_data_24,878,fake_data_24,fake_data_24
fake_data_25,fake_data_25,968,fake_data_25,fake_data_25
fake_data_26,fake_data_26,65,fake_data_26,fake_data_26
fake_data_27,fake_data_27,974,fake_data_27,fake_data_27
fake_data_28,fake_data_28,196,fake_data_28,fake_data_28
fake_data_29,fake_data_29,220,fake_data_29,fake_data_29
fake_data_30,fake_data_30,824,fake_data_30,fake_data_30
fake_data_31,fake_data_31,532,fake_data_31,fake_data_31
fake_data_32,fake_data_32,981,fake_data_32,fake_data_32
fake_data_33,fake_data_33,931,fake_data_33,fake_data_33
fake_data_34,fake_data_34,823,fake_data_34,fake_data_34
fake_data_35,fake_data_35,330,fake_data_35,fake_data_35
fake_data_36,fake_data_36,530,fake_data_36,fake_data_36
fake_data_37,fake_data_37,321,fake_data_37,fake_data_37
fake_data_38,fake_data_38,302,fake_data_38,fake_data_38
fake_data_39,fake_data_39,490,fake_data_39,fake_data_39
fake_data_40,fake_data_40,166,fake_data_40,fake_data_40
fake_data_41,fake_data_41,152,fake_data_41,fake_data_41
fake_data_42,fake_data_42,88,fake_data_42,fake_data_42
fake_data_43,fake_data_43,85,fake_data_43,fake_data_43
fake_data_44,fake_data_44,343,fake_data_44,fake_data_44
fake_data_45,fake_data_45,968,fake_data_45,fake_data_45
fake_data_46,fake_data_46,807,fake_data_46,fake_data_46
fake_data_47,fake_data_47,77,fake_data_47,fake_data_47
fake_data_48,fake_data_48,317,fake_data_48,fake_data_48
fake_data_49,fake_data_49,484,fake_data_49,fake_data_49
