industry_code,industry
627,fake_data_0
899,fake_data_1
615,fake_data_2
623,fake_data_3
165,fake_data_4
985,fake_data_5
678,fake_data_6
817,fake_data_7
946,fake_data_8
975,fake_data_9
655,fake_data_10
278,fake_data_11
688,fake_data_12
177,fake_data_13
734,fake_data_14
568,fake_data_15
312,fake_data_16
379,fake_data_17
381,fake_data_18
793,fake_data_19
945,fake_data_20
437,fake_data_21
374,fake_data_22
985,fake_data_23
766,fake_data_24
205,fake_data_25
686,fake_data_26
569,fake_data_27
631,fake_data_28
746,fake_data_29
142,fake_data_30
988,fake_data_31
897,fake_data_32
949,fake_data_33
623,fake_data_34
539,fake_data_35
596,fake_data_36
719,fake_data_37
381,fake_data_38
535,fake_data_39
209,fake_data_40
626,fake_data_41
8,fake_data_42
917,fake_data_43
755,fake_data_44
224,fake_data_45
760,fake_data_46
57,fake_data_47
914,fake_data_48
696,fake_data_49
