occupation_code,occupation_title
794,fake_data_0
421,fake_data_1
919,fake_data_2
699,fake_data_3
923,fake_data_4
602,fake_data_5
845,fake_data_6
755,fake_data_7
92,fake_data_8
35,fake_data_9
193,fake_data_10
248,fake_data_11
75,fake_data_12
543,fake_data_13
257,fake_data_14
18,fake_data_15
518,fake_data_16
871,fake_data_17
64,fake_data_18
355,fake_data_19
159,fake_data_20
145,fake_data_21
87,fake_data_22
944,fake_data_23
569,fake_data_24
552,fake_data_25
958,fake_data_26
53,fake_data_27
708,fake_data_28
122,fake_data_29
505,fake_data_30
286,fake_data_31
654,fake_data_32
941,fake_data_33
518,fake_data_34
731,fake_data_35
353,fake_data_36
90,fake_data_37
93,fake_data_38
221,fake_data_39
620,fake_data_40
224,fake_data_41
763,fake_data_42
935,fake_data_43
471,fake_data_44
491,fake_data_45
194,fake_data_46
604,fake_data_47
909,fake_data_48
733,fake_data_49
