transaction_id,customer_id,amount_cad,debit_credit,transaction_datetime
fake_data_0,fake_data_0,511,fake_data_0,fake_data_0
fake_data_1,fake_data_1,703,fake_data_1,fake_data_1
fake_data_2,fake_data_2,621,fake_data_2,fake_data_2
fake_data_3,fake_data_3,775,fake_data_3,fake_data_3
fake_data_4,fake_data_4,983,fake_data_4,fake_data_4
fake_data_5,fake_data_5,51,fake_data_5,fake_data_5
fake_data_6,fake_data_6,271,fake_data_6,fake_data_6
fake_data_7,fake_data_7,390,fake_data_7,fake_data_7
fake_data_8,fake_data_8,299,fake_data_8,fake_data_8
fake_data_9,fake_data_9,599,fake_data_9,fake_data_9
fake_data_10,fake_data_10,578,fake_data_10,fake_data_10
fake_data_11,fake_data_11,660,fake_data_11,fake_data_11
fake_data_12,fake_data_12,342,fake_data_12,fake_data_12
fake_data_13,fake_data_13,44,fake_data_13,fake_data_13
fake_data_14,fake_data_14,953,fake_data_14,fake_data_14
fake_data_15,fake_data_15,656,fake_data_15,fake_data_15
fake_data_16,fake_data_16,106,fake_data_16,fake_data_16
fake_data_17,fake_data_17,963,fake_data_17,fake_data_17
fake_data_18,fake_data_18,874,fake_data_18,fake_data_18
fake_data_19,fake_data_19,234,fake_data_19,fake_data_19
fake_data_20,fake_data_20,995,fake_data_20,fake_data_20
fake_data_21,fake_data_21,30,fake_data_21,fake_data_21
fake_data_22,fake_data_22,604,fake_data_22,fake_data_22
fake_data_23,fake_data_23,184,fake_data_23,fake_data_23
fake_data_24,fake_data_24,236,fake_data_24,fake_data_24
fake_data_25,fake_data_25,456,fake_data_25,fake_data_25
fake_data_26,fake_data_26,983,fake_data_26,fake_data_26
fake_data_27,fake_data_27,392,fake_data_27,fake_data_27
fake_data_28,fake_data_28,576,fake_data_28,fake_data_28
fake_data_29,fake_data_29,118,fake_data_29,fake_data_29
fake_data_30,fake_data_30,514,fake_data_30,fake_data_30
fake_data_31,fake_data_31,163,fake_data_31,fake_data_31
fake_data_32,fake_data_32,238,fake_data_32,fake_data_32
fake_data_33,fake_data_33,892,fake_data_33,fake_data_33
fake_data_34,fake_data_34,283,fake_data_34,fake_data_34
fake_data_35,fake_data_35,992,fake_data_35,fake_data_35
fake_data_36,fake_data_36,121,fake_data_36,fake_data_36
fake_data_37,fake_data_37,614,fake_data_37,fake_data_37
fake_data_38,fake_data_38,320,fake_data_38,fake_data_38
fake_data_39,fake_data_39,450,fake_data_39,fake_data_39
fake_data_40,fake_data_40,441,fake_data_40,fake_data_40
fake_data_41,fake_data_41,915,fake_data_41,fake_data_41
fake_data_42,fake_data_42,50,fake_data_42,fake_data_42
fake_data_43,fake_data_43,396,fake_data_43,fake_data_43
fake_data_44,fake_data_44,878,fake_data_44,fake_data_44
fake_data_45,fake_data_45,457,fake_data_45,fake_data_45
fake_data_46,fake_data_46,535,fake_data_46,fake_data_46
fake_data_47,fake_data_47,373,fake_data_47,fake_data_47
fake_data_48,fake_data_48,992,fake_data_48,fake_data_48
fake_data_49,fake_data_49,233,fake_data_49,fake_data_49
