transaction_id,customer_id,amount_cad,debit_credit,transaction_datetime
334,fake_data_0,213,fake_data_0,fake_data_0
587,fake_data_1,269,fake_data_1,fake_data_1
97,fake_data_2,467,fake_data_2,fake_data_2
264,fake_data_3,601,fake_data_3,fake_data_3
762,fake_data_4,439,fake_data_4,fake_data_4
101,fake_data_5,286,fake_data_5,fake_data_5
502,fake_data_6,19,fake_data_6,fake_data_6
577,fake_data_7,292,fake_data_7,fake_data_7
228,fake_data_8,627,fake_data_8,fake_data_8
419,fake_data_9,988,fake_data_9,fake_data_9
107,fake_data_10,698,fake_data_10,fake_data_10
758,fake_data_11,755,fake_data_11,fake_data_11
557,fake_data_12,601,fake_data_12,fake_data_12
686,fake_data_13,416,fake_data_13,fake_data_13
478,fake_data_14,442,fake_data_14,fake_data_14
757,fake_data_15,636,fake_data_15,fake_data_15
799,fake_data_16,491,fake_data_16,fake_data_16
974,fake_data_17,386,fake_data_17,fake_data_17
284,fake_data_18,282,fake_data_18,fake_data_18
413,fake_data_19,136,fake_data_19,fake_data_19
113,fake_data_20,685,fake_data_20,fake_data_20
504,fake_data_21,197,fake_data_21,fake_data_21
455,fake_data_22,799,fake_data_22,fake_data_22
545,fake_data_23,548,fake_data_23,fake_data_23
7,fake_data_24,104,fake_data_24,fake_data_24
3,fake_data_25,987,fake_data_25,fake_data_25
365,fake_data_26,994,fake_data_26,fake_data_26
731,fake_data_27,194,fake_data_27,fake_data_27
676,fake_data_28,873,fake_data_28,fake_data_28
99,fake_data_29,245,fake_data_29,fake_data_29
583,fake_data_30,61,fake_data_30,fake_data_30
566,fake_data_31,481,fake_data_31,fake_data_31
11,fake_data_32,478,fake_data_32,fake_data_32
828,fake_data_33,497,fake_data_33,fake_data_33
187,fake_data_34,637,fake_data_34,fake_data_34
29,fake_data_35,86,fake_data_35,fake_data_35
106,fake_data_36,54,fake_data_36,fake_data_36
792,fake_data_37,149,fake_data_37,fake_data_37
719,fake_data_38,112,fake_data_38,fake_data_38
445,fake_data_39,133,fake_data_39,fake_data_39
260,fake_data_40,531,fake_data_40,fake_data_40
866,fake_data_41,506,fake_data_41,fake_data_41
180,fake_data_42,160,fake_data_42,fake_data_42
814,fake_data_43,281,fake_data_43,fake_data_43
436,fake_data_44,233,fake_data_44,fake_data_44
527,fake_data_45,348,fake_data_45,fake_data_45
89,fake_data_46,463,fake_data_46,fake_data_46
154,fake_data_47,465,fake_data_47,fake_data_47
68,fake_data_48,505,fake_data_48,fake_data_48
976,fake_data_49,399,fake_data_49,fake_data_49
